,event_people_assoc_id,event_id,person_id,person_role
5770656,29625,12380,2201.0,Owner
5770657,29626,12380,2202.0,Owner
5770658,29627,12380,2203.0,Owner
5770659,29628,12381,1176.0,Purchaser
5773109,29629,12381,1177.0,Purchaser
5773113,29630,12381,1178.0,Purchaser
5773116,29631,12382,402.0,Owner
5773119,29632,12383,2703.0,Owner
5773121,29633,12383,2704.0,Owner
5773123,29634,12384,369.0,Owner
5773125,29635,12384,370.0,Owner
5773126,29636,12385,2723.0,Owner
5773128,29637,12385,2724.0,Owner
5773129,29638,12385,2725.0,Owner
5773130,29639,12386,1400.0,Owner
5773134,29640,12387,2496.0,Owner
5773136,29641,12387,2497.0,Owner
5773137,29642,12388,1995.0,Owner
5773140,29643,12389,2264.0,Owner
5773141,29644,12389,2265.0,Owner
5773143,29645,12390,1210.0,Owner
5773145,29646,12390,1211.0,Owner
5773146,29647,12390,1212.0,Owner
5773147,29648,12391,848.0,Owner
5773148,29649,12391,849.0,Owner
5773150,29650,12392,1176.0,Purchaser
5775600,29651,12392,1177.0,Purchaser
5775604,29652,12392,1178.0,Purchaser
5775607,29653,12393,1561.0,Owner
5775610,29654,12393,1562.0,Owner
5775611,29655,12394,1176.0,Purchaser
5778061,29656,12394,1177.0,Purchaser
5778065,29657,12394,1178.0,Purchaser
5778068,29658,12395,2540.0,Owner
5778069,29659,12395,2541.0,Owner
5778070,29660,12395,2542.0,Owner
5778071,29661,12395,2543.0,Owner
5778075,29662,12396,1131.0,Owner
5778080,29663,12396,1132.0,Owner
5778082,29664,12397,1176.0,Purchaser
5780532,29665,12397,1177.0,Purchaser
5780536,29666,12397,1178.0,Purchaser
5780539,29667,12398,1817.0,Owner
5780540,29668,12398,1818.0,Owner
5780541,29669,12398,1819.0,Owner
5780543,29670,12399,1176.0,Purchaser
5782993,29671,12399,1177.0,Purchaser
5782997,29672,12399,1178.0,Purchaser
5783000,29673,12400,1020.0,Owner
5783001,29674,12401,1176.0,Purchaser
5785451,29675,12401,1177.0,Purchaser
5785455,29676,12401,1178.0,Purchaser
5785458,29677,12402,2072.0,Owner
5785459,29678,12402,2073.0,Owner
5785460,29679,12402,2074.0,Owner
5785462,29680,12403,1176.0,Purchaser
