parcel_id,block_num,parcel_num,ward_num,land_use
870,71,29,4,Commercial
871,71,30,4,Commercial
872,71,31,4,-
873,71,32,4,-
874,72,1,4,Commercial
875,72,2,4,Commercial
876,72,3,4,Residential
877,72,4,4,Residential
878,72,5,4,Residential
879,72,6,4,"Residential
Commercial"
880,72,7,4,"Residential
Commercial"
881,72,8,4,Residential
882,72,9,4,Commercial
883,72,10,4,Residential
884,76,1,4,Residential
885,76,2,4,Residential
886,76,3,4,"Residential
Commercial"
887,76,4,4,Residential
888,76,5,4,Residential
889,76,6,4,Residential
890,76,7,4,Residential
891,76,8,4,Residential
892,76,9,4,Residential
893,29,13,4,Residential
894,29,14,4,Residential
895,29,15,4,Residential
896,29,16,4,Residential
897,29,17,4,Residential
898,29,18,4,Residential
899,29,19,4,Residential
900,29,20,4,Residential
901,29,21,4,Residential
902,29,25,4,Residential
903,29,31,4,Residential
904,30,6,4,Residential
905,30,8,4,Residential
906,30,10,4,Residential
907,30,15,4,Residential
908,30,16,4,Residential
909,30,17,4,Residential
910,30,22,4,Residential
911,30,24,4,Residential
912,30,25,4,Residential
913,30,26,4,Residential
914,30,28,4,Residential
915,30,29,4,Residential
916,30,30,4,Commercial
917,30,31,4,Commercial
918,30,32,4,Residential
919,30,43,4,Residential
920,30,44,4,Residential
921,31,6,4,Residential
922,31,15,4,Residential
923,31,22,4,Residential
924,31,23,4,Commercial
925,31,24,4,Commercial
926,31,25,4,Commercial
927,31,26,4,Commercial
928,31,27,4,Commercial
929,31,28,4,Residential
930,31,32,4,Residential
931,31,33,4,Residential
932,32,15,4,Commercial
933,32,16,4,Residential
934,33,1,4,Residential
935,33,5,4,Residential
936,33,7,4,Residential
937,33,10,4,Residential
